radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
----------------------------------------------------------------------
	0.0	|	1.0	|	0.0	|	0.0
	0.262	|	0.966	|	0.259	|	0.268
	0.524	|	0.866	|	0.5	|	0.577
	0.785	|	0.707	|	0.707	|	1.0
	1.047	|	0.5	|	0.866	|	1.732
	1.309	|	0.259	|	0.966	|	3.732
	1.571	|	0.0	|	1.0	|	 UN 
	1.833	|	-0.259	|	0.966	|	-3.732
	2.094	|	-0.5	|	0.866	|	-1.732
	2.356	|	-0.707	|	0.707	|	-1.0
	2.618	|	-0.866	|	0.5	|	-0.577
	2.88	|	-0.966	|	0.259	|	-0.268
	3.142	|	-1.0	|	0.0	|	0.0
	3.403	|	-0.966	|	-0.259	|	0.268
	3.665	|	-0.866	|	-0.5	|	0.577
	3.927	|	-0.707	|	-0.707	|	1.0
	4.189	|	-0.5	|	-0.866	|	1.732
	4.451	|	-0.259	|	-0.966	|	3.732
	4.712	|	0.0	|	-1.0	|	 UN 
	4.974	|	0.259	|	-0.966	|	-3.732
	5.236	|	0.5	|	-0.866	|	-1.732
	5.498	|	0.707	|	-0.707	|	-1.0
	5.76	|	0.866	|	-0.5	|	-0.577
	6.021	|	0.966	|	-0.259	|	-0.268
	6.283	|	1.0	|	0.0	|	0.0
